dataset,config,seed,samples_per_class,total_audited,conditioning_accuracy,conditioning_failure_rate,leakage_count,leakage_rate,predicted_label_pattern

ustc_tfc2016,paper2_acgan_fakeclass_b100_seed42,42,100,900,0.1111111111,0.8888888889,800,0.8888888889,full collapse to class 7

ustc_tfc2016,paper2_acgan_fakeclass_b100_seed43,43,100,900,0.0444444444,0.9555555556,860,0.9555555556,collapse into classes 2/5/8

ustc_tfc2016,paper2_acgan_fakeclass_b100_seed44,44,100,900,0.1111111111,0.8888888889,800,0.8888888889,full collapse to class 8

cicmaldroid2020,paper2_cicmaldroid_fakeclass_seed42,42,100,500,0.244,0.756,378,0.756,collapse mostly into classes 1/3

cicmaldroid2020,paper2_cicmaldroid_fakeclass_seed43,43,100,500,0.2,0.8,400,0.8,full collapse to class 2

cicmaldroid2020,paper2_cicmaldroid_fakeclass_seed44,44,100,500,0.208,0.792,396,0.792,collapse mostly into classes 1/0/3
