family,budget_per_class,requested_class,runs,num_synthetic_mean,alignment_accuracy_mean,alignment_accuracy_std,leakage_rate_mean,leakage_rate_std,dominant_predicted_class_mode,dominant_predicted_fraction_mean,dominant_predicted_fraction_std
DIFFUSION,100,4,3,100.0,0.0,0.0,1.0,0.0,8,1.0,0.0
DIFFUSION,100,7,3,100.0,0.0,0.0,1.0,0.0,8,1.0,0.0
GAN,100,4,3,100.0,0.0,0.0,1.0,0.0,1,1.0,0.0
GAN,100,7,3,100.0,0.0,0.0,1.0,0.0,1,1.0,0.0
VAE,100,4,3,100.0,0.0,0.0,1.0,0.0,7,1.0,0.0
VAE,100,7,3,100.0,1.0,0.0,0.0,0.0,7,1.0,0.0
DIFFUSION,500,4,3,500.0,0.0,0.0,1.0,0.0,8,1.0,0.0
DIFFUSION,500,7,3,500.0,0.0,0.0,1.0,0.0,8,1.0,0.0
GAN,500,4,3,500.0,0.0,0.0,1.0,0.0,1,1.0,0.0
GAN,500,7,3,500.0,0.0,0.0,1.0,0.0,1,1.0,0.0
VAE,500,4,3,500.0,0.0,0.0,1.0,0.0,7,1.0,0.0
VAE,500,7,3,500.0,1.0,0.0,0.0,0.0,7,1.0,0.0
DIFFUSION,2000,4,3,2000.0,0.0,0.0,1.0,0.0,8,1.0,0.0
DIFFUSION,2000,7,3,2000.0,0.0,0.0,1.0,0.0,8,1.0,0.0
GAN,2000,4,3,2000.0,0.0,0.0,1.0,0.0,1,0.9998333333333335,0.0002886751345947811
GAN,2000,7,3,2000.0,0.0,0.0,1.0,0.0,1,1.0,0.0
VAE,2000,4,3,2000.0,0.0,0.0,1.0,0.0,7,1.0,0.0
VAE,2000,7,3,2000.0,1.0,0.0,0.0,0.0,7,1.0,0.0
