model,synth_budget_per_class,runs,delta_macro_f1_mean,delta_macro_f1_std,delta_bal_acc_mean,delta_bal_acc_std,delta_macro_auprc_mean,delta_macro_auprc_std
gan,0,3,0.0,0.0,0.0,0.0,0.0,0.0
gan,25,3,0.0007667937921620667,0.0018346183017214314,0.0006268233477314667,0.0018260086349785863,-0.0006323505192911999,0.001776170522789797
gan,100,3,0.0002990064476580667,0.002290857382381956,-2.5400632797500022e-05,0.002184148745358271,-0.0008919563015673667,0.00022891578767394893
gan,500,3,-0.0002640628330165,0.001023864966568299,-0.00031016865888220004,0.0012082881669706093,-5.0003504334366657e-05,0.0016428789839848638
gan,2000,3,0.006439810354627234,0.0035631534184217503,0.006109523501955934,0.0035522753690527854,0.0035566230106685004,0.001940038294379271
vae,0,3,0.0,0.0,0.0,0.0,0.0,0.0
vae,25,3,0.001404253339145767,0.0028999163145386323,0.0011710616975496334,0.00262828030877634,8.14286136899932e-07,0.002761782776428131
vae,100,3,0.0005384954233600333,0.0013831045632011932,0.00023316038256310004,0.001385015316383213,6.891210703673339e-05,0.0011229255512161525
vae,500,3,-0.0017588562314949704,0.002582560679413875,-0.0015018946188799997,0.0027821094239284254,0.00017203778873643334,0.001963097991766785
vae,2000,3,0.0011781568475145332,0.0010205203894076338,0.0010544128490003668,0.0007955990748644346,0.00038656037664816663,0.0009985993447581486
