family,budget_per_class,class_id,runs,delta_precision_mean,delta_precision_std,delta_recall_mean,delta_recall_std,delta_f1_mean,delta_f1_std,real_only_f1_mean,real_plus_synth_f1_mean,support_mean,tradeoff_pattern
DIFFUSION,100,4,3,-0.0172825145748204,0.0305141860706361,-0.0235955056179775,0.0830473145713814,-0.0207735628406027,0.021496000976295,0.7403757907630237,0.719602227922421,890.0,both decline
DIFFUSION,100,7,3,-0.0052948623253659,0.0717907904564692,-0.0840675477239353,0.1051824578566596,-0.0581806555812732,0.052463270709653,0.725515979866621,0.6673353242853478,908.0,both decline
GAN,100,4,3,0.0061379092900395,0.0233680896802186,-0.0561797752808988,0.1017645107814559,-0.0253809532536302,0.0345288145917394,0.7423602241689297,0.7169792709152993,890.0,precision gain / recall loss
GAN,100,7,3,-0.0114476878189933,0.0849797676381567,-0.0447870778267254,0.1142210840472759,-0.0348995732958109,0.0466900240658116,0.725149968082225,0.690250394786414,908.0,both decline
VAE,100,4,3,0.0086528294246749,0.0435347499998085,-0.1026217228464419,0.1234438974815803,-0.0461141361373174,0.031948104010426,0.7524390730323852,0.7063249368950677,890.0,precision gain / recall loss
VAE,100,7,3,-0.03876130195454,0.0585502789807725,-0.0451541850220263,0.0632373445813021,-0.0437021566270234,0.0281994784359964,0.7291881217684683,0.6854859651414448,908.0,both decline
DIFFUSION,500,4,3,0.0002353087152998,0.0444459149262788,-0.0715355805243445,0.0859703543214781,-0.034500227227371,0.0281188101310628,0.7492026712740231,0.7147024440466522,890.0,net F1 decline
DIFFUSION,500,7,3,-0.0257057817224516,0.0268999218622045,-0.0187224669603524,0.038718933549002,-0.0208741990516613,0.0100132025408113,0.7272129991932244,0.706338800141563,908.0,both decline
GAN,500,4,3,0.0453468834586949,0.1103639084199231,-0.1146067415730337,0.1665538481097377,-0.0291077707462269,0.0289702466052101,0.744708040103268,0.715600269357041,890.0,precision gain / recall loss
GAN,500,7,3,-0.0485248638021266,0.075246319099007,0.0293685756240822,0.1339196783908418,-0.0002026067473813,0.039958056814736,0.7184630620737894,0.718260455326408,908.0,recall gain / precision loss
VAE,500,4,3,0.0074665078185378,0.0721139620853686,-0.044569288389513,0.1253518382988259,-0.015053975557367,0.0329534349442472,0.7381275661069581,0.7230735905495909,890.0,precision gain / recall loss
VAE,500,7,3,-0.0093282219658732,0.0557584869574731,-0.027533039647577,0.0876018078208999,-0.0161892443231252,0.021953453777413,0.7322419009099946,0.7160526565868693,908.0,both decline
DIFFUSION,2000,4,3,0.0511068806235196,0.0262375631357134,-0.1355805243445692,0.0556643018219736,-0.045281197456797,0.0212716195226814,0.747608135907282,0.702326938450485,890.0,precision gain / recall loss
DIFFUSION,2000,7,3,-0.0593438046202693,0.0067385249466561,0.052129221732746,0.0216188426789067,-0.0012983431214376,0.0043114857999165,0.7277093463648084,0.7264110032433709,908.0,recall gain / precision loss
GAN,2000,4,3,0.0220408048608735,0.0675093994013645,-0.1097378277153557,0.2157254603069255,-0.0477602418359514,0.0865756965965293,0.7427226105774666,0.6949623687415151,890.0,precision gain / recall loss
GAN,2000,7,3,-0.0519150272547588,0.1045776010293641,0.0033039647577092,0.1013156002828804,-0.0178248743904337,0.0093651210437057,0.7335827629352566,0.7157578885448229,908.0,recall gain / precision loss
VAE,2000,4,3,0.0115706191396738,0.0754370440980702,-0.0052434456928838,0.1848658939045185,0.0016745116737063,0.0563310689859512,0.7329878262144223,0.7346623378881286,890.0,precision gain / recall loss
VAE,2000,7,3,0.0141518377993753,0.0949377770156684,-0.0345080763582965,0.1048359427230633,-0.0122671259098714,0.0201462025952507,0.7308888961384353,0.7186217702285639,908.0,precision gain / recall loss
