model,synth_budget_per_class,runs,delta_macro_f1_mean,delta_macro_f1_std,delta_bal_acc_mean,delta_bal_acc_std,delta_macro_auprc_mean,delta_macro_auprc_std,Family
diffusion,0,3,0.0,0.0,0.0,0.0,0.0,0.0,DIFFUSION
gan,0,3,0.0,0.0,0.0,0.0,0.0,0.0,GAN
vae,0,3,0.0,0.0,0.0,0.0,0.0,0.0,VAE
diffusion,100,3,-0.0089497463135343,0.0073165884556068,-0.0073774597958734,0.0068670764545131,-0.0075084707331608,0.0032406192103293,DIFFUSION
gan,100,3,-0.0107367233366587,0.0039537660310694,-0.0091423253963969,0.0047043226225595,-0.0077164226503609,0.0024657179316373,GAN
vae,100,3,-0.0084957241600458,0.0014505791696561,-0.0062073086691966,0.0032073938586329,-0.0088392023573854,0.0028818592990783,VAE
diffusion,500,3,-0.0074677273929011,0.0051742492875079,-0.0064852789111855,0.0041417347189051,-0.0078862049246287,0.0018951048643585,DIFFUSION
gan,500,3,-0.0053571298772195,0.0021419907208394,-0.0045693856892279,0.0022916343550259,-0.0101153378504245,0.0024662743835063,GAN
vae,500,3,-0.0075148180820639,0.002811719973767,-0.0058657561582431,0.0036861609014432,-0.0083584700696812,0.0039884098286596,VAE
diffusion,2000,3,-0.0108183230401645,0.0105927534497756,-0.0095980579722176,0.0095497930520547,-0.0070024626456542,0.0015688309996863,DIFFUSION
gan,2000,3,-0.0145218090712056,0.017975681116069,-0.0121098342745038,0.0160173991775819,-0.0088202491029586,0.0059746264042365,GAN
vae,2000,3,-0.0072301987100892,0.0061224005945806,-0.0066339602443733,0.0054664231037287,-0.0073871972803454,0.0018576151503445,VAE
