family,budget_per_class,class_id,runs,delta_precision_mean,delta_precision_std,delta_recall_mean,delta_recall_std,delta_f1_mean,delta_f1_std,real_only_f1_mean,real_plus_synth_f1_mean,support_mean
DIFFUSION,100,4,3,-0.017282514574820478,0.030514186070636117,-0.023595505617977557,0.08304731457138145,-0.020773562840602722,0.021496000976295008,0.7403757907630237,0.719602227922421,890.0
DIFFUSION,100,7,3,-0.005294862325365986,0.07179079045646929,-0.08406754772393539,0.10518245785665963,-0.05818065558127324,0.05246327070965306,0.725515979866621,0.6673353242853478,908.0
GAN,100,4,3,0.006137909290039508,0.02336808968021862,-0.05617977528089887,0.10176451078145597,-0.025380953253630285,0.03452881459173947,0.7423602241689297,0.7169792709152993,890.0
GAN,100,7,3,-0.011447687818993302,0.08497976763815679,-0.04478707782672542,0.11422108404727598,-0.034899573295810914,0.04669002406581164,0.725149968082225,0.690250394786414,908.0
VAE,100,4,3,0.008652829424674971,0.043534749999808546,-0.10262172284644193,0.12344389748158038,-0.04611413613731741,0.03194810401042603,0.7524390730323852,0.7063249368950677,890.0
VAE,100,7,3,-0.03876130195454005,0.05855027898077257,-0.045154185022026394,0.06323734458130217,-0.043702156627023404,0.02819947843599647,0.7291881217684683,0.6854859651414448,908.0
DIFFUSION,500,4,3,0.00023530871529982753,0.04444591492627888,-0.07153558052434454,0.08597035432147819,-0.034500227227371005,0.028118810131062804,0.7492026712740231,0.7147024440466522,890.0
DIFFUSION,500,7,3,-0.0257057817224516,0.026899921862204555,-0.018722466960352402,0.03871893354900209,-0.020874199051661362,0.010013202540811346,0.7272129991932244,0.706338800141563,908.0
GAN,500,4,3,0.0453468834586949,0.11036390841992312,-0.1146067415730337,0.16655384810973778,-0.029107770746226985,0.028970246605210123,0.744708040103268,0.715600269357041,890.0
GAN,500,7,3,-0.04852486380212665,0.075246319099007,0.029368575624082238,0.13391967839084182,-0.00020260674738133608,0.03995805681473602,0.7184630620737894,0.718260455326408,908.0
VAE,500,4,3,0.007466507818537897,0.07211396208536869,-0.044569288389513094,0.12535183829882596,-0.015053975557367094,0.03295343494424722,0.7381275661069581,0.7230735905495909,890.0
VAE,500,7,3,-0.009328221965873204,0.05575848695747318,-0.02753303964757703,0.08760180782089991,-0.016189244323125258,0.021953453777413045,0.7322419009099946,0.7160526565868693,908.0
DIFFUSION,2000,4,3,0.05110688062351968,0.026237563135713418,-0.13558052434456927,0.0556643018219736,-0.045281197456797075,0.021271619522681487,0.747608135907282,0.702326938450485,890.0
DIFFUSION,2000,7,3,-0.0593438046202693,0.006738524946656111,0.052129221732746,0.0216188426789067,-0.0012983431214376913,0.004311485799916528,0.7277093463648084,0.7264110032433709,908.0
GAN,2000,4,3,0.022040804860873564,0.06750939940136458,-0.10973782771535578,0.21572546030692558,-0.047760241835951435,0.08657569659652935,0.7427226105774666,0.6949623687415151,890.0
GAN,2000,7,3,-0.05191502725475886,0.10457760102936417,0.003303964757709258,0.1013156002828804,-0.01782487439043375,0.009365121043705722,0.7335827629352566,0.7157578885448229,908.0
VAE,2000,4,3,0.011570619139673869,0.07543704409807024,-0.005243445692883856,0.1848658939045185,0.001674511673706321,0.05633106898595122,0.7329878262144223,0.7346623378881286,890.0
VAE,2000,7,3,0.014151837799375308,0.09493777701566847,-0.03450807635829659,0.1048359427230633,-0.012267125909871446,0.020146202595250767,0.7308888961384353,0.7186217702285639,908.0
