config_id,policy_label,n_seeds,mean_fake,delta_macro_f1_mean,delta_macro_f1_std,delta_bal_acc_mean,delta_bal_acc_std,delta_macro_auprc_mean,delta_macro_auprc_std,kid_mean,kid_std,ms_ssim_mean,ms_ssim_std
paper4_realonly_balanced,Real-only,3,0.0,,,,,,,,,,
paper4_baseline_b25,Baseline b25,3,225.0,0.0004583264648693666,0.00178984644043126,0.0002964736051768667,0.0014047733643956178,3.064720608770001e-05,0.0008984280535403714,0.5278364766554181,0.041170149641975615,0.9300660187999408,0.0031598548294322786
paper4_baseline_b500,Baseline b500,3,4500.0,0.002028104446506133,0.002913347447560829,0.002255964960848067,0.00271236878765132,0.0014903748720740456,0.001316268120433026,0.6256250070685994,0.12564696063532144,0.921718127363258,0.03502723776518536
paper4_baseline_b2000,Baseline b2000,3,18000.0,0.004355863707684367,0.005115340641831603,0.004429368775970533,0.005224287790218925,0.0031721497405997334,0.0021696422035349253,0.9913567323432603,0.1359052088594572,0.9482993435749302,0.0048388620948969455
paper4_policy_keep_all_b25,Keep-all b25,3,225.0,-0.0008830195292415334,0.0018137574198632616,-0.0012249687051632669,0.0017706791373026127,-0.0006360366689285333,0.000558930066355579,0.5484539584440654,0.005502430567119368,0.9349571939971711,0.007430952655078361
paper4_policy_keep_all_b500,Keep-all b500,3,4500.0,0.0005943920092035333,0.0009972972274426685,0.0004469258667469333,0.0011496738072622292,0.00013042472924531084,0.00019899174081496236,0.6256250024172311,0.1256469654317155,0.9217181061373817,0.03502725687339992
paper4_policy_keep_all_b2000,Keep-all b2000,3,18000.0,0.005695782863763501,0.003787293816029321,0.0056575153345236676,0.003938697565083136,0.002909644729046033,0.002204225518270048,0.9913567201958706,0.1359052149792502,0.9482993276582824,0.00483883694063779
paper4_policy_confidence_accept_t080_b2000,Strict-conf.,1,1004.0,-4.304110327268962e-05,,7.340280688994394e-05,,-0.0014155476129467,,0.9517952466073124,,0.9528762248158454,
paper4_policy_confidence_ranked_topk500_b2000,Top-k500,3,4500.0,-0.0003616449805640667,0.003330428043115441,-0.0001481507068093667,0.0023645289501138807,0.0011834803493105666,0.0009045572834575327,0.9905878323241692,0.1377721430839502,0.9486366759847712,0.004229165492712425
paper4_policy_confidence_ranked_topk1000_b2000,Top-k1000,3,9000.0,0.0035827920530237,0.002291995020949907,0.003419560434769433,0.002184567658208533,0.0007248550605852333,0.0011032452985099113,0.9902798082665512,0.14091377915202863,0.9486907130038297,0.004286572843303381
paper4_policy_class_repair_topk9000_b2000,Class-repair,3,9000.0,0.0037227173662923337,0.0029656108186114413,0.0037424915484406667,0.0030429020009594553,0.0029995766095635003,0.0017677615618185143,0.9906825704646369,0.136542197710269,0.9487874460441095,0.0043653247158784245
