config_id,policy_label,n_seeds,seeds,budget_per_class,num_fake_mean,delta_macro_f1_mean,delta_macro_f1_std,delta_macro_f1_mean_pm_std,delta_bal_acc_mean,delta_bal_acc_std,delta_bal_acc_mean_pm_std,delta_macro_auprc_mean,delta_macro_auprc_std,delta_macro_auprc_mean_pm_std
paper4_realonly_balanced,Real-only,3,"42,43,44",0,0.0,,,,,,,,,
paper4_baseline_b25,Baseline b25,3,"42,43,44",25,225.0,0.0004583264648693666,0.00178984644043126,0.000458 ± 0.001790,0.0002964736051768667,0.0014047733643956178,0.000296 ± 0.001405,3.064720608770001e-05,0.0008984280535403714,0.000031 ± 0.000898
paper4_baseline_b500,Baseline b500,3,"42,43,44",500,4500.0,0.002028104446506133,0.0029133474475608284,0.002028 ± 0.002913,0.002255964960848067,0.00271236878765132,0.002256 ± 0.002712,0.0014903748720740456,0.001316268120433026,0.001490 ± 0.001316
paper4_baseline_b2000,Baseline b2000,3,"42,43,44",2000,18000.0,0.004355863707684367,0.005115340641831603,0.004356 ± 0.005115,0.004429368775970533,0.005224287790218925,0.004429 ± 0.005224,0.0031721497405997334,0.0021696422035349253,0.003172 ± 0.002170
paper4_policy_keep_all_b25,Keep-all b25,3,"42,43,44",25,225.0,-0.0008830195292415334,0.0018137574198632614,-0.000883 ± 0.001814,-0.0012249687051632666,0.0017706791373026125,-0.001225 ± 0.001771,-0.0006360366689285333,0.0005589300663555789,-0.000636 ± 0.000559
paper4_policy_keep_all_b500,Keep-all b500,3,"42,43,44",500,4500.0,0.0005943920092035333,0.0009972972274426685,0.000594 ± 0.000997,0.0004469258667469333,0.0011496738072622292,0.000447 ± 0.001150,0.00013042472924531084,0.00019899174081496233,0.000130 ± 0.000199
paper4_policy_keep_all_b2000,Keep-all b2000,3,"42,43,44",2000,18000.0,0.005695782863763501,0.003787293816029321,0.005696 ± 0.003787,0.005657515334523667,0.003938697565083136,0.005658 ± 0.003939,0.002909644729046033,0.002204225518270048,0.002910 ± 0.002204
paper4_policy_confidence_accept_t080_b2000,Strict-conf.,1,42,1004,1004.0,-4.304110327268962e-05,,-0.000043,7.340280688994394e-05,,0.000073,-0.0014155476129467,,-0.001416
paper4_policy_confidence_ranked_topk500_b2000,Top-k500,3,"42,43,44",500,4500.0,-0.0003616449805640667,0.003330428043115441,-0.000362 ± 0.003330,-0.0001481507068093667,0.0023645289501138807,-0.000148 ± 0.002365,0.0011834803493105666,0.0009045572834575327,0.001183 ± 0.000905
paper4_policy_confidence_ranked_topk1000_b2000,Top-k1000,3,"42,43,44",1000,9000.0,0.0035827920530237,0.0022919950209499065,0.003583 ± 0.002292,0.003419560434769433,0.002184567658208533,0.003420 ± 0.002185,0.0007248550605852333,0.0011032452985099113,0.000725 ± 0.001103
paper4_policy_class_repair_topk9000_b2000,Class-repair,3,"42,43,44",9000 total,9000.0,0.0037227173662923337,0.0029656108186114413,0.003723 ± 0.002966,0.0037424915484406667,0.0030429020009594553,0.003742 ± 0.003043,0.0029995766095634994,0.001767761561818514,0.003000 ± 0.001768
