config_id,policy_label,seed,budget_per_class,num_fake,macro_f1_real_only,macro_f1_real_plus_synth,delta_macro_f1,bal_acc_real_only,bal_acc_real_plus_synth,delta_bal_acc,macro_auprc_real_only,macro_auprc_real_plus_synth,delta_macro_auprc,kid,ms_ssim
paper4_realonly_balanced,Real-only,42,0,0,0.941644648748437,,,0.941886387123926,,,0.9746858320238074,,,,
paper4_realonly_balanced,Real-only,43,0,0,0.936951721498677,,,0.9381290311294452,,,0.9737710895929942,,,,
paper4_realonly_balanced,Real-only,44,0,0,0.9403084948029884,,,0.9401805521927064,,,0.9732308926549198,,,,
paper4_baseline_b25,Baseline b25,42,25,225,0.9419864024950396,0.9410035992203892,-0.0009828032746503,0.9422916688387506,0.941542752115894,-0.0007489167228565,0.9751231662638684,0.9761356084878624,0.0010124422239941,0.480304869329006,0.9282575638757812
paper4_baseline_b25,Baseline b25,43,25,225,0.9380446169289473,0.9405064381469794,0.0024618212180322,0.9388261920412276,0.940719491855432,0.0018932998142044,0.9746352661787824,0.973884788595154,-0.0007504775836283,0.5508667871041798,0.9282258336411582
paper4_baseline_b25,Baseline b25,44,25,225,0.9421117565350828,0.9420077179863088,-0.0001040385487738,0.9422408092052432,0.941985846929426,-0.0002549622758173,0.9755660269201198,0.9753960038980172,-0.0001700230221027,0.5523377735330685,0.9337146588828829
paper4_baseline_b500,Baseline b500,42,500,4500,0.9357463247401157,0.9408548939327718,0.0051085691926561,0.9365637880466922,0.941344055547171,0.0047802675004788,0.9727460211270142,0.9744660732925352,0.0017200521655208,0.5392486579980158,0.9006963809993532
paper4_baseline_b500,Baseline b500,43,500,4500,0.940812767434903,0.940129893566208,-0.0006828738686949,0.9409625828669884,0.9403508228423244,-0.0006117600246638,0.9745008293984848,0.9745752130499516,7.438365146683612e-05,0.5678602051355297,0.9621534390581978
paper4_baseline_b500,Baseline b500,44,500,4500,0.9351765954536378,0.9368352134691952,0.0016586180155572,0.934951183910516,0.9375505713172454,0.0025993874067292,0.9715644899765312,0.9742411787757658,0.0026766887992345,0.7697661580722526,0.9023045620322228
paper4_baseline_b2000,Baseline b2000,42,2000,18000,0.9395524222236536,0.9411476604445204,0.0015952382208668,0.9401509997620112,0.9418377068427995,0.0016867070807883,0.9742799195139088,0.9749851519086264,0.0007052323947175,0.9457111761235916,0.953397488064236
paper4_baseline_b2000,Baseline b2000,43,2000,18000,0.9394344019224308,0.9406483090236152,0.0012139071011844,0.9399109107167486,0.9410584890186204,0.0011475783018717,0.972739342647709,0.9767666834340348,0.0040273407863258,0.8841503283700696,0.947730493148168
paper4_baseline_b2000,Baseline b2000,44,2000,18000,0.935704276430462,0.945962722231464,0.0102584458010019,0.9357075264728604,0.946161347418112,0.0104538209452516,0.9720251537284246,0.9768090297691804,0.0047838760407559,1.1442086925361197,0.9437700495123864
paper4_policy_keep_all_b25,keep_all b25,42,25,225,0.9382439704827712,0.9393181039901174,0.0010741335073461,0.939315618020697,0.9396390575781304,0.0003234395574334,0.9749760008098016,0.9745694707200544,-0.0004065300897472,0.5421573146949479,0.9429310894674724
paper4_policy_keep_all_b25,keep_all b25,43,25,225,0.9403655087112456,0.9378582502351605,-0.0025072584760852,0.941192998527116,0.9380374829661474,-0.0031555155609687,0.9739401950472916,0.973711801362362,-0.0002283936849293,0.5508667871041798,0.9282258336411582
paper4_policy_keep_all_b25,keep_all b25,44,25,225,0.9391634734031248,0.9379475397841394,-0.0012159336189855,0.939047997808859,0.9382051676969044,-0.0008428301119545,0.974131302990538,0.9728581167584288,-0.0012731862321091,0.5523377735330685,0.9337146588828829
paper4_policy_keep_all_b500,keep_all b500,42,500,4500,0.9405573936214456,0.9422519936257364,0.0016946000042907,0.9409555047735844,0.9425716144013224,0.001616109627738,0.9746284030038388,0.9747758611352,0.0001474581313612,0.5392486440439109,0.9006963173217244
paper4_policy_keep_all_b500,keep_all b500,43,500,4500,0.938437523530048,0.938776359560755,0.000338836030707,0.939598688644754,0.9389164981936466,-0.0006821904511074,0.9743792685860831,0.9746996208389832,0.0003203522529001,0.5678602051355297,0.9621534390581978
paper4_policy_keep_all_b500,keep_all b500,44,500,4500,0.9383529228497988,0.9381026628424116,-0.0002502600073871,0.9381755182581466,0.9385823766817568,0.0004068584236102,0.9742462378806028,0.9741697016840776,-7.653619652536747e-05,0.7697661580722526,0.9023045620322228
paper4_policy_keep_all_b2000,keep_all b2000,42,2000,18000,0.9435512966916856,0.9448823652220368,0.001331068530351,0.9438860011948706,0.944995630299846,0.0011096291049754,0.9756249064869869,0.97606571554444,0.0004408090574532,0.9457111396814224,0.9533974403142929
paper4_policy_keep_all_b2000,keep_all b2000,43,2000,18000,0.9369998260007256,0.9451136481045728,0.0081138221038473,0.9377078720516216,0.9456095539748332,0.0079016819232116,0.9725101113252768,0.9771901290705178,0.0046800177452409,0.8841503283700696,0.947730493148168
paper4_policy_keep_all_b2000,keep_all b2000,44,2000,18000,0.9386664339275064,0.9463088918845984,0.0076424579570922,0.9385590833256052,0.9465203183009891,0.007961234975384,0.9738293020472516,0.9774374094316955,0.003608107384444,1.1442086925361197,0.9437700495123864
paper4_policy_confidence_accept_t080_b2000,confidence_accept t080,42,1004,1004,0.9412037732159853,0.9411607321127126,-4.304110327268962e-05,0.9414742905711276,0.9415476933780176,7.340280688994394e-05,0.9758697695867196,0.974454221973773,-0.0014155476129467,0.9517952466073124,0.9528762248158454
